id,shown_stimulus,mental_complexity,distraction,pressed_key,correct_key_pressed,reaction_time_in_microseconds,timestamp
1,E,A,no,70,true,669923,1495531683
1,O,A,no,74,true,548242,1495531685
1,O,A,no,74,true,626938,1495531686
1,O,A,yes,74,true,640617,1495531687
1,R,P,no,74,true,667558,1495531688
1,E,A,yes,70,true,602681,1495531689
1,R,P,yes,74,true,512754,1495531689
1,O,A,yes,74,true,700218,1495531691
1,E,A,yes,70,true,635977,1495531692
1,E,A,yes,70,true,589977,1495531692
1,O,A,no,74,true,496272,1495531693
1,B,P,no,70,true,535271,1495531694
1,B,P,yes,70,true,426655,1495531695
1,O,A,yes,74,true,579117,1495531696
1,B,P,yes,70,true,453125,1495531696
1,R,P,no,74,true,372360,1495531697
1,B,P,yes,70,true,414405,1495531698
1,E,A,no,70,true,612236,1495531699
1,E,A,no,70,true,463989,1495531699
1,B,P,no,70,true,508478,1495531700
1,R,P,no,74,true,426957,1495531701
1,O,A,no,74,true,505185,1495531702
1,R,P,no,74,true,358976,1495531702
1,B,P,no,70,true,444352,1495531703
1,R,P,yes,74,true,568430,1495531704
1,E,A,yes,70,true,454066,1495531705
1,B,P,yes,70,true,699917,1495531706
1,B,P,no,70,true,443758,1495531706
1,E,A,no,70,true,481875,1495531707
1,R,P,no,74,true,503975,1495531708
1,O,A,no,74,true,606044,1495531711
1,O,A,yes,74,true,504818,1495531712
1,B,P,yes,70,true,619897,1495531713
1,R,P,yes,74,true,547155,1495531713
1,B,P,no,70,true,517495,1495531714
1,E,A,yes,70,true,603422,1495531715
1,E,A,no,70,true,519377,1495531716
1,O,A,yes,74,true,476119,1495531717
1,R,P,yes,74,true,442358,1495531718
1,R,P,yes,74,true,432821,1495531718
